"x","y","out1","out2","out3"
-1.00661450519859,5.79458260622386,0,0,1
0.79534664140211,4.21235566866635,0,0,1
0.0138926588754838,6.92416563197934,0,0,1
-1.98391990313045,-1.63219360160579,1,0,0
0.282138122990229,5.41800186844279,0,0,1
1.48260310296056,3.14183837770142,0,0,1
3.37303288994182,5.2194339931132,0,0,1
5.64227571552375,-1.9307345326399,0,1,0
6.42478703651501,-4.9509958581925,0,1,0
-5.38851946584474,-1.33090462125173,1,0,0
-7.34010672099043,-6.82693550419195,1,0,0
4.27823819952316,3.1520752196147,0,1,0
-4.84664781186729,-4.85201414562329,1,0,0
-4.45212036414861,-6.46292702846029,1,0,0
-6.4088712945404,3.68151347013822,1,0,0
0.793848659777555,-2.30477486348395,0,1,0
-3.20804866957792,-5.11301453952718,1,0,0
-2.48945083331338,3.12850827063257,0,0,1
5.52676130781655,-0.0769830818338173,0,1,0
5.32255312131813,-4.1969975623811,0,1,0
6.30356781210224,-5.47747447564013,0,1,0
-2.96038071044208,4.50718101155957,0,0,1
9.0229588613088,-5.02340600255092,0,1,0
-1.97695238707592,-2.53636709313829,1,0,0
2.35559471422697,5.08931082997812,0,0,1
-9.38755686393346,0.737944645082979,1,0,0
-0.836288967610564,6.93223556549462,0,0,1
-5.5059327424711,-4.3893662899064,1,0,0
0.0417981982939427,4.78950311091293,0,0,1
1.9539057280307,2.50207367309311,0,1,0
4.0403740952331,-7.44085290818862,0,1,0
5.44191678651228,-0.824014696122331,0,1,0
4.85673789030184,-2.53380878902967,0,1,0
0.285652772257278,5.49219442345723,0,0,1
2.33699190300185,-2.18851009456965,0,1,0
1.87207027423865,-4.10657169989677,0,1,0
-5.53268590869786,-5.36670078341998,1,0,0
5.10298975504611,-1.98417997629601,0,1,0
1.45791444347182,6.09264239954592,0,0,1
3.5631038736104,-0.397761881498463,0,1,0
-3.00506297107615,6.02005913338135,0,0,1
4.04462837652817,-3.68484505322736,0,1,0
-3.47723883705634,8.94921566848085,0,0,1
6.90230167780144,-0.991406912447268,0,1,0
-0.456501785824903,-2.63138794447492,1,0,0
-2.44201322726116,5.37843780393966,0,0,1
1.02736672466753,0.362527098039912,0,0,1
7.66330156202444,-3.53221121140452,0,1,0
2.67430960133963,-1.75016973404415,0,1,0
-0.440472954609283,6.64783939906144,0,0,1
-7.80980769859189,-0.737377266730092,1,0,0
-1.26300714930725,4.54201435657396,0,0,1
7.58214467574668,-3.25496182020767,0,1,0
-0.404955010472665,-1.96906041921433,0,1,0
8.65294753898529,-3.58805195698189,0,1,0
-0.917858463234625,-3.55989643236433,0,1,0
4.42291863209824,0.249566650225017,0,1,0
4.53182317473278,0.644447615981657,0,1,0
-2.46089963532813,-2.92843796322902,1,0,0
-0.242599369586288,9.69891740829166,0,0,1
-0.394411275429406,3.37006922125215,0,0,1
2.54737705419625,5.25005890653329,0,0,1
-3.84457795274506,3.56865592012383,0,0,1
4.74713901086524,-6.02756733436998,0,1,0
5.2749590137838,9.49516453751777,0,0,1
1.59556749841219,9.05773057001407,0,0,1
-6.03941531832362,-5.16607337812041,1,0,0
2.3475214175138,-5.58701747022952,0,1,0
-5.59888778988658,-4.58821695166162,1,0,0
1.97463431963413,6.45634003037761,0,0,1
-5.25870590198243,-6.2004481814292,1,0,0
3.38196889791854,-0.0460658306714476,0,1,0
-7.55543522039712,-0.915656682170022,1,0,0
-1.83529533840838,6.5709279606617,0,0,1
-3.04774787179809,-4.11622934927222,1,0,0
2.28425769804771,-3.45900853483461,0,1,0
5.56051169399656,-2.29423300804151,0,1,0
3.5910122500058,-2.19372183260416,0,1,0
-4.77521740364459,2.12975651282981,1,0,0
0.794965227057935,0.0130893417193541,0,1,0
-4.56586298890446,-0.220881895080124,1,0,0
0.826297543888851,6.05933607136802,0,0,1
-0.703749209190062,5.96912205258388,0,0,1
2.26125312772582,-2.99906822716196,0,1,0
3.95889263939868,2.23185453156012,0,1,0
-1.26197793806283,6.90534245600493,0,0,1
1.85805913771981,3.76500324124593,0,0,1
-3.58068337167265,-0.465482164840359,1,0,0
6.37425727183567,-3.54929846564635,0,1,0
8.33229347948861,-7.46636507960616,0,1,0
3.08470439855873,-3.37743291697709,0,1,0
-7.23525240788026,-1.17710627019335,1,0,0
4.31636557691344,-2.86030927245077,0,1,0
2.65142680733945,5.52260783344976,0,0,1
-5.96752100686742,-2.18288284264498,1,0,0
0.660147266457737,6.45396546977981,0,0,1
4.96520171873393,0.0364460273078437,0,1,0
1.15217372571407,8.20358881953524,0,0,1
-2.10506991853424,6.30203713992545,0,0,1
3.13483756706595,6.87774403386459,0,0,1
-1.59442452462047,1.84535437602008,0,0,1
8.64432667414249,-4.34760264410898,0,1,0
4.20347118886689,-3.70774783948183,0,1,0
6.12110975088216,-4.63892731768322,0,1,0
0.402496851788021,7.38897152208625,0,0,1
-2.71575340296588,5.99581198030721,0,0,1
-8.92706445141819,-6.5527211333559,1,0,0
-1.87765504709551,-3.15712317631665,1,0,0
2.92520802180541,-1.69989677823754,0,1,0
-4.43284403056727,-2.65937208752808,1,0,0
-5.3389482952722,-3.08085546878718,1,0,0
-2.8098365332964,-3.78791161226219,1,0,0
4.95648509996559,0.195269513707406,0,1,0
0.0300190001551456,3.297794678298,0,0,1
3.3078180507338,7.18292022969454,0,0,1
7.90536208455089,0.137369502751985,0,1,0
1.00702780526175,4.68755457598055,0,0,1
-1.51951699756338,-2.96733609401361,1,0,0
-0.477451955361549,6.73763147497079,0,0,1
-7.05842564000172,-1.57381799650207,1,0,0
1.08535670417549,4.31647751831589,0,0,1
-4.79362090652244,-3.24045945339013,1,0,0
-3.88429316186188,4.75518823632587,0,0,1
4.35865355505646,-3.98365043989133,0,1,0
1.10522621729323,1.57436580524576,0,0,1
4.82187464110294,0.0285000957584378,0,1,0
-1.11748762253564,-5.57716678656393,1,0,0
-7.71650190770737,-1.51832366262191,1,0,0
-3.25373576772553,7.9351577011832,0,0,1
3.11583954419954,-3.23524997840927,0,1,0
-5.40944239573701,-0.117419601067795,1,0,0
4.2962301960792,-1.06130604670242,0,1,0
-0.403477180134448,-3.99559144759098,1,0,0
-0.842240076826347,10.2201505552084,0,0,1
6.74315135536907,-0.744063533479051,0,1,0
2.28367957117722,5.72991236669728,0,0,1
5.20008486979721,-1.24462946908036,0,1,0
